"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2043,3.869372,8,2
42,"FuelType","Sector",2044,3.869372,8,2
42,"FuelType","Sector",2045,3.869372,8,2
42,"FuelType","Sector",2046,3.869372,8,2
42,"FuelType","Sector",2047,3.993579,8,2
42,"FuelType","Sector",2048,3.993579,8,2
42,"FuelType","Sector",2049,3.993579,8,2
42,"FuelType","Sector",2050,3.993579,8,2
42,"FuelType","Sector",2011,0.1342799,8,3
42,"FuelType","Sector",2012,0.1368158,8,3
42,"FuelType","Sector",2013,0.1368158,8,3
42,"FuelType","Sector",2014,0.1368158,8,3
42,"FuelType","Sector",2015,0.1368158,8,3
42,"FuelType","Sector",2016,0.1368158,8,3
42,"FuelType","Sector",2017,0.1387418,8,3
42,"FuelType","Sector",2018,0.1387418,8,3
42,"FuelType","Sector",2019,0.1387418,8,3
42,"FuelType","Sector",2020,0.1387418,8,3
42,"FuelType","Sector",2021,0.1387418,8,3
42,"FuelType","Sector",2022,0.1463519,8,3
42,"FuelType","Sector",2023,0.1463519,8,3
42,"FuelType","Sector",2024,0.1463519,8,3
42,"FuelType","Sector",2025,0.1463519,8,3
42,"FuelType","Sector",2026,0.1463519,8,3
42,"FuelType","Sector",2027,0.153962,8,3
42,"FuelType","Sector",2028,0.153962,8,3
42,"FuelType","Sector",2029,0.153962,8,3
42,"FuelType","Sector",2030,0.153962,8,3
42,"FuelType","Sector",2031,0.153962,8,3
42,"FuelType","Sector",2032,0.1615721,8,3
42,"FuelType","Sector",2033,0.1615721,8,3
42,"FuelType","Sector",2034,0.1615721,8,3
42,"FuelType","Sector",2035,0.1615721,8,3
42,"FuelType","Sector",2036,0.1615721,8,3
42,"FuelType","Sector",2037,0.1691822,8,3
42,"FuelType","Sector",2038,0.1691822,8,3
42,"FuelType","Sector",2039,0.1691822,8,3
42,"FuelType","Sector",2040,0.1691822,8,3
42,"FuelType","Sector",2041,0.1691822,8,3
42,"FuelType","Sector",2042,0.1767922,8,3
42,"FuelType","Sector",2043,0.1767922,8,3
42,"FuelType","Sector",2044,0.1767922,8,3
42,"FuelType","Sector",2045,0.1767922,8,3
42,"FuelType","Sector",2046,0.1767922,8,3
42,"FuelType","Sector",2047,0.1844023,8,3
42,"FuelType","Sector",2048,0.1844023,8,3
42,"FuelType","Sector",2049,0.1844023,8,3
42,"FuelType","Sector",2050,0.1844023,8,3
42,"FuelType","Sector",2011,0.002681265,8,6
42,"FuelType","Sector",2012,0.002853053,8,6
